species,flag_ID,flag_color,tag_color,colony_ID,fragment_num,species_code,Transplant_site,Collection_site,PAM_position_sequence,treatment,transplant_envir,home_envir,avg_FvFm,FvFm1,FvFm2,FvFm3
SSID,18,blue,na,6,na,na,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.40672312116666676,0.38118811880000003,0.4313725490000001,0.4076086957000001
PSTR,13,orange,light blue,1,17,PSTR117,OS,OS,random,OS Native,Offshore,Offshore coral,0.49511191513333336,0.45958083830000007,0.5275142315,0.4982406756
PSTR,12,green,light blue,1,19,PSTR119,OS,OS,random,OS Native,Offshore,Offshore coral,0.5498844940000001,0.5546430828000001,0.5385587863,0.5564516129000001
PSTR,18,blue,white,5,19,PSTR519,OS,OS,random,OS Native,Offshore,Offshore coral,0.5213964889666667,0.649122807,0.45372645370000003,0.46134020620000005
PSTR,20,white,white,5,7,PSTR57,OS,NS,random,Transplant to OS,Offshore,Nearshore coral,0.6902470516666666,0.8064243448999999,0.4982206406,0.7660961694999999
PSTR,17,yellow,orange,3,14,PSTR314,OS,OS,random,OS Native,Offshore,Offshore coral,0.5726226620666667,0.6924643584999999,0.5051724138,0.5202312139
PSTR,16,pink,orange,3,18,PSTR318,OS,OS,random,OS Native,Offshore,Offshore coral,0.5708175405666666,0.5154826957999998,0.5419664269,0.655003499
PSTR,19,black,pink,6,8,PSTR68,OS,NS,random,Transplant to OS,Offshore,Nearshore coral,0.5307073858333333,0.5778236915000001,0.5175879396999998,0.4967105263
SSID,9,black,pink,6,17,SSID617,OS,OS,random,OS Native,Offshore,Offshore coral,0.6007238832333334,0.6726415094,0.5821705426,0.5473595977
SSID,10,white,pink,6,15,SSID615,OS,OS,random,OS Native,Offshore,Offshore coral,0.5644356590333333,0.5727023320000001,0.47619047620000005,0.6444141688999998
SSID,8,blue,pink,6,18,SSID618,OS,OS,random,OS Native,Offshore,Offshore coral,0.4960037806333334,0.49198966410000006,0.4714201532000001,0.5246015246000001
SSID,11,purple,pink,6,14,SSID614,OS,OS,random,OS Native,Offshore,Offshore coral,0.5403740671666667,0.7184223664999999,0.47250400430000006,0.4301958307
PSTR,21,purple,white,5,10,PSTR510,OS,NS,random,Transplant to OS,Offshore,Nearshore coral,0.501311223,0.5790662650999999,0.4063684610000001,0.5184989429
SSID,6,pink,white,5,17,SSID517,OS,OS,random,OS Native,Offshore,Offshore coral,0.6298112641666667,0.7319719209,0.5312298777000001,0.6262319939
SSID,2,green,light blue,1,18,SSID118,OS,OS,random,OS Native,Offshore,Offshore coral,0.5242142769,0.6159355416,0.47790189410000006,0.4788053950000001
PSTR,22,green,light blue,1,10,PSTR110,OS,NS,random,Transplant to OS,Offshore,Nearshore coral,0.5902458354,0.7061224489999999,0.5748571429,0.48975791430000004
PSTR,15,red,orange,3,19,PSTR319,OS,OS,random,OS Native,Offshore,Offshore coral,0.5974368250333334,0.6635802468999998,0.5208446129000002,0.6078856153000001
SSID,4,neon,red,4,18,SSID418,OS,OS,random,OS Native,Offshore,Offshore coral,0.5227358939333334,0.6037358239,0.4260599793000001,0.5384118786000001
SSID,3,orange,light blue,1,19,SSID119,OS,OS,random,OS Native,Offshore,Offshore coral,0.4731350268333333,0.46303030300000003,0.4502398082,0.5061349692999999
SSID,7,yellow,pink,6,19,SSID619,OS,OS,random,OS Native,Offshore,Offshore coral,0.5744780545333333,0.6807909605,0.5349508954000001,0.5076923077
SSID,1,purple,purple,1,17,SSID117,OS,OS,random,OS Native,Offshore,Offshore coral,0.5836518654999999,0.6292803969999999,0.5715068493,0.5501683502
SSID,5,red,white,5,18,SSID518,OS,OS,random,OS Native,Offshore,Offshore coral,0.6014890244,0.6505469199999999,0.5813449024,0.5725752508
