timepoint,bw_date,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,months,mort,tod
T1,3/6/18,PSTR 3 14,PSTR,P3,14,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,NA
T2,9/26/18,PSTR 3 14,PSTR,P3,14,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,Y,alive,9,0,NA
T3,5/31/19,PSTR 3 14,PSTR,P3,14,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,NA
T4,8/10/23,PSTR 3 14,PSTR,P3,14,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,60,0,NA
T0,12/12/17,PSTR 3 15,PSTR,P3,15,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 3 15,PSTR,P3,15,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 3 15,PSTR,P3,15,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,Y,alive,9,0,60
T3,5/31/19,PSTR 3 15,PSTR,P3,15,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 3 15,PSTR,P3,15,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 3 16,PSTR,P3,16,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 3 16,PSTR,P3,16,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 3 16,PSTR,P3,16,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 3 16,PSTR,P3,16,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 3 16,PSTR,P3,16,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 3 17,PSTR,P3,17,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 3 17,PSTR,P3,17,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 3 17,PSTR,P3,17,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,Y,alive,9,0,60
T3,5/31/19,PSTR 3 17,PSTR,P3,17,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 3 17,PSTR,P3,17,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 3 18,PSTR,P3,18,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
T1,3/6/18,PSTR 3 18,PSTR,P3,18,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,NA
T2,9/26/18,PSTR 3 18,PSTR,P3,18,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,NA
T3,5/31/19,PSTR 3 18,PSTR,P3,18,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,NA
T4,8/10/23,PSTR 3 18,PSTR,P3,18,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,60,0,NA
T0,12/12/17,PSTR 3 19,PSTR,P3,19,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
T1,3/6/18,PSTR 3 19,PSTR,P3,19,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,NA
T2,9/26/18,PSTR 3 19,PSTR,P3,19,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,NA
T3,5/31/19,PSTR 3 19,PSTR,P3,19,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,NA
T4,8/10/23,PSTR 3 19,PSTR,P3,19,OSP3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,60,0,NA
T0,12/12/17,PSTR 3 22,PSTR,P3,22,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 3 22,PSTR,P3,22,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 3 22,PSTR,P3,22,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 3 22,PSTR,P3,22,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,17,0,60
T4,NA,PSTR 3 22,PSTR,P3,22,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,dead,60,1,60
T0,12/12/17,PSTR 3 23,PSTR,P3,23,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 3 23,PSTR,P3,23,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 3 23,PSTR,P3,23,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,PSTR 3 23,PSTR,P3,23,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,Y,alive,17,0,60
T4,NA,PSTR 3 23,PSTR,P3,23,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,Y,dead,60,1,60
T0,12/12/17,PSTR 3 24,PSTR,P3,24,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 3 24,PSTR,P3,24,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 3 24,PSTR,P3,24,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 3 24,PSTR,P3,24,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,17,0,60
T4,NA,PSTR 3 24,PSTR,P3,24,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,dead,60,1,60
T0,12/12/17,PSTR 3 25,PSTR,P3,25,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,17
T1,3/9/18,PSTR 3 25,PSTR,P3,25,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,17
T2,9/25/18,PSTR 3 25,PSTR,P3,25,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,Y,alive,9,0,17
T3,5/29/19,PSTR 3 25,PSTR,P3,25,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,17,1,17
T4,NA,PSTR 3 25,PSTR,P3,25,OSP3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,17
T0,12/11/17,PSTR 3 3,PSTR,P3,3,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 3 3,PSTR,P3,3,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 3 3,PSTR,P3,3,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,60
T3,5/30/19,PSTR 3 3,PSTR,P3,3,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 3 3,PSTR,P3,3,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 3 4,PSTR,P3,4,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 3 4,PSTR,P3,4,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 3 4,PSTR,P3,4,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 3 4,PSTR,P3,4,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 3 4,PSTR,P3,4,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 3 5,PSTR,P3,5,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 3 5,PSTR,P3,5,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 3 5,PSTR,P3,5,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 3 5,PSTR,P3,5,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 3 5,PSTR,P3,5,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 3 6,PSTR,P3,6,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 3 6,PSTR,P3,6,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 3 6,PSTR,P3,6,NSP3,NS,NS,False Caye,False Caye,NS Native,Y,N,alive,9,0,NA
T3,5/30/19,PSTR 3 6,PSTR,P3,6,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 3 6,PSTR,P3,6,NSP3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 3 8,PSTR,P3,8,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 3 8,PSTR,P3,8,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,3,0,60
T2,9/26/18,PSTR 3 8,PSTR,P3,8,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,N,alive,9,0,60
T3,5/31/19,PSTR 3 8,PSTR,P3,8,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 3 8,PSTR,P3,8,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 3 9,PSTR,P3,9,NSP3,NS,NS,False Caye,Silk Cayes,NS Native,N,N,alive,0,0,60
T1,3/7/18,PSTR 3 9,PSTR,P3,9,NSP3,NS,NS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 3 9,PSTR,P3,9,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,Y,N,alive,9,0,60
T3,5/31/19,PSTR 3 9,PSTR,P3,9,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 3 9,PSTR,P3,9,NSP3,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 4 1,PSTR,P4,1,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 4 1,PSTR,P4,1,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 4 1,PSTR,P4,1,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,60
T3,5/30/19,PSTR 4 1,PSTR,P4,1,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 4 1,PSTR,P4,1,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 4 10,PSTR,P4,10,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 4 10,PSTR,P4,10,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 4 10,PSTR,P4,10,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 4 10,PSTR,P4,10,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 4 10,PSTR,P4,10,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 4 11,PSTR,P4,11,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 4 11,PSTR,P4,11,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 4 11,PSTR,P4,11,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 4 11,PSTR,P4,11,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 4 11,PSTR,P4,11,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 4 16,PSTR,P4,16,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 4 16,PSTR,P4,16,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 4 16,PSTR,P4,16,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 4 16,PSTR,P4,16,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 4 16,PSTR,P4,16,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 4 17,PSTR,P4,17,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 4 17,PSTR,P4,17,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 4 17,PSTR,P4,17,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,9,0,60
T3,5/31/19,PSTR 4 17,PSTR,P4,17,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 4 17,PSTR,P4,17,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 4 18,PSTR,P4,18,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 4 18,PSTR,P4,18,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 4 18,PSTR,P4,18,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 4 18,PSTR,P4,18,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 4 18,PSTR,P4,18,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 4 19,PSTR,P4,19,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 4 19,PSTR,P4,19,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 4 19,PSTR,P4,19,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,Y,N,alive,9,0,60
T3,5/31/19,PSTR 4 19,PSTR,P4,19,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 4 19,PSTR,P4,19,OSP4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 4 2,PSTR,P4,2,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 4 2,PSTR,P4,2,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 4 2,PSTR,P4,2,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 4 2,PSTR,P4,2,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 4 2,PSTR,P4,2,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/12/17,PSTR 4 22,PSTR,P4,22,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 4 22,PSTR,P4,22,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 4 22,PSTR,P4,22,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 4 22,PSTR,P4,22,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 4 22,PSTR,P4,22,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 4 23,PSTR,P4,23,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 4 23,PSTR,P4,23,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 4 23,PSTR,P4,23,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 4 23,PSTR,P4,23,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 4 23,PSTR,P4,23,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 4 24,PSTR,P4,24,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 4 24,PSTR,P4,24,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 4 24,PSTR,P4,24,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 4 24,PSTR,P4,24,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 4 24,PSTR,P4,24,OSP4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 4 3,PSTR,P4,3,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 4 3,PSTR,P4,3,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 4 3,PSTR,P4,3,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 4 3,PSTR,P4,3,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 4 3,PSTR,P4,3,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 4 4,PSTR,P4,4,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 4 4,PSTR,P4,4,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 4 4,PSTR,P4,4,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 4 4,PSTR,P4,4,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 4 4,PSTR,P4,4,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 4 5,PSTR,P4,5,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 4 5,PSTR,P4,5,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 4 5,PSTR,P4,5,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 4 5,PSTR,P4,5,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 4 5,PSTR,P4,5,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 4 6,PSTR,P4,6,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 4 6,PSTR,P4,6,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 4 6,PSTR,P4,6,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,60
T3,5/30/19,PSTR 4 6,PSTR,P4,6,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 4 6,PSTR,P4,6,NSP4,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 4 8,PSTR,P4,8,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 4 8,PSTR,P4,8,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 4 8,PSTR,P4,8,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 4 8,PSTR,P4,8,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 4 8,PSTR,P4,8,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 4 9,PSTR,P4,9,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 4 9,PSTR,P4,9,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 4 9,PSTR,P4,9,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 4 9,PSTR,P4,9,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 4 9,PSTR,P4,9,NSP4,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 5 10,PSTR,P5,10,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,NA
T1,3/7/18,PSTR 5 10,PSTR,P5,10,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,NA
T2,9/26/18,PSTR 5 10,PSTR,P5,10,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,NA
T3,5/31/19,PSTR 5 10,PSTR,P5,10,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,17,0,NA
T4,8/10/23,PSTR 5 10,PSTR,P5,10,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,60,0,NA
T0,12/11/17,PSTR 5 11,PSTR,P5,11,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,17
T1,3/7/18,PSTR 5 11,PSTR,P5,11,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,17
T2,9/26/18,PSTR 5 11,PSTR,P5,11,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,17
T3,5/31/19,PSTR 5 11,PSTR,P5,11,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,17,1,17
T4,NA,PSTR 5 11,PSTR,P5,11,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,17
T0,12/11/17,PSTR 5 12,PSTR,P5,12,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 5 12,PSTR,P5,12,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 5 12,PSTR,P5,12,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 5 12,PSTR,P5,12,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 5 12,PSTR,P5,12,NSP5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 5 16,PSTR,P5,16,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 5 16,PSTR,P5,16,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 5 16,PSTR,P5,16,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 5 16,PSTR,P5,16,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 5 16,PSTR,P5,16,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 5 17,PSTR,P5,17,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 5 17,PSTR,P5,17,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 5 17,PSTR,P5,17,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,Y,alive,9,0,60
T3,5/31/19,PSTR 5 17,PSTR,P5,17,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 5 17,PSTR,P5,17,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 5 18,PSTR,P5,18,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 5 18,PSTR,P5,18,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 5 18,PSTR,P5,18,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 5 18,PSTR,P5,18,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 5 18,PSTR,P5,18,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 5 19,PSTR,P5,19,OSP5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
