timepoint,bw_date,ID,species,collection_site,transplant_site,treatment,mortality,bw,bw_sd,bw_se
T1,3/9/2018,PSTR 4 23,PSTR,OS,NS,NS Transplant,alive,10.34603509,0.011547005,0.008164966
T1,3/9/2018,PSTR 4 24,PSTR,OS,NS,NS Transplant,alive,22.51725439,0.005773503,0.004082483
T1,3/9/2018,PSTR 4 25,PSTR,OS,NS,NS Transplant,alive,17.45062281,0.015275252,0.010801234
T1,3/8/2018,PSTR 5 1,PSTR,NS,NS,NS Native,alive,20.11257669,0.005773503,0.004082483
T1,3/8/2018,PSTR 5 2,PSTR,NS,NS,NS Native,alive,26.13140228,0.005773503,0.004082483
T1,3/8/2018,PSTR 5 3,PSTR,NS,NS,NS Native,alive,22.19192813,0.01,0.007071068
T1,3/8/2018,PSTR 5 4,PSTR,NS,NS,NS Native,alive,38.14912358,0.005773503,0.004082483
T1,3/8/2018,PSTR 5 5,PSTR,NS,NS,NS Native,alive,11.13748466,0.005773503,0.004082483
T1,3/8/2018,PSTR 5 6,PSTR,NS,NS,NS Native,alive,15.75457493,0.01,0.007071068
T1,3/7/2018,PSTR 5 7,PSTR,NS,OS,OS Transplant,alive,22.22333333,0.005773503,0.004082483
T1,3/7/2018,PSTR 5 8,PSTR,NS,OS,OS Transplant,alive,18.66333333,0.005773503,0.004082483
T1,3/7/2018,PSTR 5 9,PSTR,NS,OS,OS Transplant,alive,28,0.01,0.007071068
T1,3/7/2018,PSTR 5 10,PSTR,NS,OS,OS Transplant,alive,22.39666667,0.005773503,0.004082483
T1,3/7/2018,PSTR 5 11,PSTR,NS,OS,OS Transplant,alive,23.05666667,0.005773503,0.004082483
T1,3/7/2018,PSTR 5 12,PSTR,NS,OS,OS Transplant,alive,17.08,0.01,0.005773503
T1,3/6/2018,PSTR 5 14,PSTR,OS,OS,OS Native,alive,17.03348472,0.011547005,0.008164966
T1,3/6/2018,PSTR 5 15,PSTR,OS,OS,OS Native,alive,15.81869869,0.01,0.007071068
T1,3/6/2018,PSTR 5 16,PSTR,OS,OS,OS Native,alive,21.55831441,0.02,0.014142136
T1,3/6/2018,PSTR 5 17,PSTR,OS,OS,OS Native,alive,11.49578166,0.015275252,0.010801234
T1,3/6/2018,PSTR 5 18,PSTR,OS,OS,OS Native,alive,15.69622707,0.005773503,0.004082483
T1,3/6/2018,PSTR 5 19,PSTR,OS,OS,OS Native,alive,17.41413974,0.005773503,0.004082483
T1,3/9/2018,PSTR 5 20,PSTR,OS,NS,NS Transplant,alive,14.89666667,0.005773503,0.004082483
T1,3/9/2018,PSTR 5 21,PSTR,OS,NS,NS Transplant,alive,18.23,0,0
T1,3/9/2018,PSTR 5 22,PSTR,OS,NS,NS Transplant,alive,24.98666667,0.005773503,0.004082483
T1,3/9/2018,PSTR 5 23,PSTR,OS,NS,NS Transplant,alive,16.43,0,0
T1,3/9/2018,PSTR 5 24,PSTR,OS,NS,NS Transplant,alive,10.68333333,0.005773503,0.004082483
T1,3/9/2018,PSTR 5 25,PSTR,OS,NS,NS Transplant,alive,13.15666667,0.005773503,0.004082483
T1,3/8/2018,PSTR 6 1,PSTR,NS,NS,NS Native,alive,27.20488596,0.011547005,0.008164966
T1,3/8/2018,PSTR 6 2,PSTR,NS,NS,NS Native,alive,21.35698246,0.005773503,0.004082483
T1,3/8/2018,PSTR 6 3,PSTR,NS,NS,NS Native,alive,16.94196491,0.005773503,0.004082483
T1,3/8/2018,PSTR 6 4,PSTR,NS,NS,NS Native,alive,24.82782456,0.005773503,0.004082483
T1,3/8/2018,PSTR 6 5,PSTR,NS,NS,NS Native,alive,13.68389474,0,0
T1,3/8/2018,PSTR 6 6,PSTR,NS,NS,NS Native,alive,20.78848246,0.005773503,0.004082483
T1,3/7/2018,PSTR 6 7,PSTR,NS,OS,OS Transplant,alive,18.18265845,0.005773503,0.004082483
T1,3/7/2018,PSTR 6 8,PSTR,NS,OS,OS Transplant,alive,35.09086268,0,0
T1,3/7/2018,PSTR 6 9,PSTR,NS,OS,OS Transplant,alive,19.46044894,0.005773503,0.004082483
T1,3/7/2018,PSTR 6 10,PSTR,NS,OS,OS Transplant,alive,19.53384683,0.005773503,0.004082483
T1,3/7/2018,PSTR 6 11,PSTR,NS,OS,OS Transplant,alive,12.45762324,0.005773503,0.004082483
T1,3/7/2018,PSTR 6 12,PSTR,NS,OS,OS Transplant,alive,11.75033451,0,0
T1,3/6/2018,PSTR 6 14,PSTR,OS,OS,OS Native,alive,14.00768014,0.01,0.007071068
T1,3/6/2018,PSTR 6 15,PSTR,OS,OS,OS Native,alive,38.58273286,0.005773503,0.004082483
T1,3/6/2018,PSTR 6 16,PSTR,OS,OS,OS Native,alive,10.44414763,0.005773503,0.004082483
T1,3/6/2018,PSTR 6 17,PSTR,OS,OS,OS Native,alive,15.20995606,0.011547005,0.008164966
T1,3/6/2018,PSTR 6 18,PSTR,OS,OS,OS Native,alive,21.96734622,0.005773503,0.004082483
