timepoint,bw_date,ID,species,collection_site,transplant_site,treatment,mortality,bw,bw_sd,bw_se
T2,9/24/2018,PSTR 1 5,PSTR,NS,NS,NS Native,alive,20.95135135,0,0
T2,9/24/2018,PSTR 1 6,PSTR,NS,NS,NS Native,alive,33.51421099,0.017320508,0.012247449
T2,9/26/2018,PSTR 1 7,PSTR,NS,OS,OS Transplant,alive,42.08209607,0.005773503,0.004082483
T2,9/26/2018,PSTR 1 9,PSTR,NS,OS,OS Transplant,alive,25.09659389,0.005773503,0.004082483
T2,9/26/2018,PSTR 1 10,PSTR,NS,OS,OS Transplant,alive,25.17292576,0.005773503,0.004082483
T2,9/26/2018,PSTR 1 11,PSTR,NS,OS,OS Transplant,alive,30.75842795,0.005773503,0.004082483
T2,9/26/2018,PSTR 1 12,PSTR,NS,OS,OS Transplant,alive,32.11912664,0.01,0.007071068
T2,9/26/2018,PSTR 1 15,PSTR,OS,OS,OS Native,alive,23.35423581,0.015275252,0.010801234
T2,9/26/2018,PSTR 1 16,PSTR,OS,OS,OS Native,alive,29.50724891,0.015275252,0.010801234
T2,9/26/2018,PSTR 1 17,PSTR,OS,OS,OS Native,alive,22.93275109,0.015275252,0.010801234
T2,9/26/2018,PSTR 1 18,PSTR,OS,OS,OS Native,alive,13.74969432,0.01,0.007071068
T2,9/26/2018,PSTR 1 19,PSTR,OS,OS,OS Native,alive,21.66165939,0.02081666,0.014719601
T2,9/25/2018,PSTR 1 21,PSTR,OS,NS,NS Transplant,alive,29.95294118,0.005773503,0.004082483
T2,9/25/2018,PSTR 1 22,PSTR,OS,NS,NS Transplant,alive,17.30184372,0.015275252,0.010801234
T2,9/25/2018,PSTR 1 23,PSTR,OS,NS,NS Transplant,alive,28.21808604,0.023094011,0.016329932
T2,9/25/2018,PSTR 1 24,PSTR,OS,NS,NS Transplant,alive,23.42054434,0.01,0.007071068
T2,9/25/2018,PSTR 1 25,PSTR,OS,NS,NS Transplant,alive,29.19227392,0.02081666,0.014719601
T2,9/24/2018,PSTR 2 2,PSTR,NS,NS,NS Native,alive,37.72904348,0.01,0.007071068
T2,9/24/2018,PSTR 2 3,PSTR,NS,NS,NS Native,alive,28.08695652,0.005773503,0.004082483
T2,9/24/2018,PSTR 2 4,PSTR,NS,NS,NS Native,alive,23.95982609,0.01,0.007071068
T2,9/24/2018,PSTR 2 5,PSTR,NS,NS,NS Native,alive,42.70869565,0.015275252,0.010801234
T2,9/24/2018,PSTR 2 6,PSTR,NS,NS,NS Native,alive,19.93843478,0.011547005,0.008164966
T2,9/26/2018,PSTR 2 7,PSTR,NS,OS,OS Transplant,alive,17.19158633,0.028867513,0.020412415
T2,9/26/2018,PSTR 2 8,PSTR,NS,OS,OS Transplant,alive,16.62208589,0.015275252,0.010801234
T2,9/26/2018,PSTR 2 10,PSTR,NS,OS,OS Transplant,alive,28.11533742,0.017320508,0.012247449
T2,9/26/2018,PSTR 2 11,PSTR,NS,OS,OS Transplant,alive,20.82173532,0.01,0.007071068
T2,9/26/2018,PSTR 2 12,PSTR,NS,OS,OS Transplant,alive,32.58141981,0.01,0.007071068
T2,9/26/2018,PSTR 2 14,PSTR,OS,OS,OS Native,alive,16.09135802,0.005773503,0.004082483
T2,9/26/2018,PSTR 2 15,PSTR,OS,OS,OS Native,alive,21.55679012,0.005773503,0.004082483
T2,9/26/2018,PSTR 2 16,PSTR,OS,OS,OS Native,alive,17.54232804,0.017320508,0.012247449
T2,9/26/2018,PSTR 2 17,PSTR,OS,OS,OS Native,alive,15.90705467,0.005773503,0.004082483
T2,9/26/2018,PSTR 2 18,PSTR,OS,OS,OS Native,alive,16.27901235,0.011547005,0.008164966
T2,9/26/2018,PSTR 2 19,PSTR,OS,OS,OS Native,alive,22.40458554,0.005773503,0.004082483
T2,9/25/2018,PSTR 2 20,PSTR,OS,NS,NS Transplant,alive,26.05335658,0.005773503,0.004082483
T2,9/25/2018,PSTR 2 21,PSTR,OS,NS,NS Transplant,alive,16.19721011,0.015275252,0.010801234
T2,9/25/2018,PSTR 2 22,PSTR,OS,NS,NS Transplant,alive,25.68230166,0.01,0.007071068
T2,9/25/2018,PSTR 2 23,PSTR,OS,NS,NS Transplant,alive,22.06120314,0.011547005,0.008164966
T2,9/25/2018,PSTR 2 24,PSTR,OS,NS,NS Transplant,alive,23.45265911,0.015275252,0.010801234
T2,9/25/2018,PSTR 2 25,PSTR,OS,NS,NS Transplant,alive,19.73548387,0.011547005,0.008164966
T2,9/24/2018,PSTR 3 2,PSTR,NS,NS,NS Native,alive,36.68769772,0.011547005,0.008164966
T2,9/24/2018,PSTR 3 3,PSTR,NS,NS,NS Native,alive,29.88910369,0.015275252,0.010801234
T2,9/24/2018,PSTR 3 4,PSTR,NS,NS,NS Native,alive,24.75676626,0.011547005,0.008164966
T2,9/24/2018,PSTR 3 5,PSTR,NS,NS,NS Native,alive,15.76432337,0.005773503,0.004082483
T2,9/24/2018,PSTR 3 6,PSTR,NS,NS,NS Native,alive,35.98646749,0.02081666,0.014719601
T2,9/26/2018,PSTR 3 8,PSTR,NS,OS,OS Transplant,alive,13.22187227,0.005773503,0.004082483
T2,9/26/2018,PSTR 3 9,PSTR,NS,OS,OS Transplant,alive,32.60087489,0.015275252,0.010801234
T2,9/26/2018,PSTR 3 10,PSTR,NS,OS,OS Transplant,alive,35.10096238,0.005773503,0.004082483
T2,9/26/2018,PSTR 3 11,PSTR,NS,OS,OS Transplant,alive,40.86579178,0.005773503,0.004082483
T2,9/26/2018,PSTR 3 12,PSTR,NS,OS,OS Transplant,alive,25.64916885,0.005773503,0.004082483
T2,9/26/2018,PSTR 3 14,PSTR,OS,OS,OS Native,alive,8.067486819,0.015275252,0.010801234
T2,9/26/2018,PSTR 3 15,PSTR,OS,OS,OS Native,alive,12.56203866,0.02,0.014142136
T2,9/26/2018,PSTR 3 16,PSTR,OS,OS,OS Native,alive,14.79595782,0.01,0.007071068
T2,9/26/2018,PSTR 3 17,PSTR,OS,OS,OS Native,alive,6.648330404,0.011547005,0.008164966
T2,9/26/2018,PSTR 3 18,PSTR,OS,OS,OS Native,alive,11.86748682,0.015275252,0.010801234
T2,9/26/2018,PSTR 3 19,PSTR,OS,OS,OS Native,alive,7.630052724,0.011547005,0.008164966
T2,9/25/2018,PSTR 3 21,PSTR,OS,NS,NS Transplant,alive,7.819614711,0.011547005,0.008164966
T2,9/25/2018,PSTR 3 22,PSTR,OS,NS,NS Transplant,alive,15.76567426,0.011547005,0.008164966
T2,9/25/2018,PSTR 3 23,PSTR,OS,NS,NS Transplant,alive,8.192294221,0.011547005,0.008164966
T2,9/25/2018,PSTR 3 24,PSTR,OS,NS,NS Transplant,alive,10.62802102,0.011547005,0.008164966
T2,9/25/2018,PSTR 3 25,PSTR,OS,NS,NS Transplant,alive,11.40998249,0.017320508,0.012247449
T2,9/24/2018,PSTR 4 1,PSTR,NS,NS,NS Native,alive,29.10553117,0.01,0.007071068
T2,9/24/2018,PSTR 4 2,PSTR,NS,NS,NS Native,alive,25.42230026,0.02,0.014142136
T2,9/24/2018,PSTR 4 3,PSTR,NS,NS,NS Native,alive,34.56365233,0.005773503,0.004082483
T2,9/24/2018,PSTR 4 4,PSTR,NS,NS,NS Native,alive,31.19069359,0.005773503,0.004082483
T2,9/24/2018,PSTR 4 5,PSTR,NS,NS,NS Native,alive,25.65917471,0.011547005,0.008164966
T2,9/24/2018,PSTR 4 6,PSTR,NS,NS,NS Native,alive,32.66532046,0.011547005,0.008164966
T2,9/26/2018,PSTR 4 8,PSTR,NS,OS,OS Transplant,alive,20.16564417,0.011547005,0.008164966
T2,9/26/2018,PSTR 4 9,PSTR,NS,OS,OS Transplant,alive,28.17195443,0.005773503,0.004082483
T2,9/26/2018,PSTR 4 10,PSTR,NS,OS,OS Transplant,alive,25.13128834,0.011547005,0.008164966
T2,9/26/2018,PSTR 4 11,PSTR,NS,OS,OS Transplant,alive,16.96178791,0.005773503,0.004082483
T2,9/26/2018,PSTR 4 12,PSTR,NS,OS,OS Transplant,alive,27.98545136,0.01,0.007071068
T2,9/26/2018,PSTR 4 15,PSTR,OS,OS,OS Native,alive,20.75641476,0.01,0.007071068
T2,9/26/2018,PSTR 4 16,PSTR,OS,OS,OS Native,alive,21.12372583,0.005773503,0.004082483
T2,9/26/2018,PSTR 4 17,PSTR,OS,OS,OS Native,alive,27.33128295,0.005773503,0.004082483
T2,9/26/2018,PSTR 4 18,PSTR,OS,OS,OS Native,alive,19.74130053,0.011547005,0.008164966
T2,9/26/2018,PSTR 4 19,PSTR,OS,OS,OS Native,alive,13.87100176,0.005773503,0.004082483
T2,9/25/2018,PSTR 4 21,PSTR,OS,NS,NS Transplant,alive,22.91373239,0.005773503,0.004082483
T2,9/25/2018,PSTR 4 22,PSTR,OS,NS,NS Transplant,alive,15.51778169,0.005773503,0.004082483
T2,9/25/2018,PSTR 4 23,PSTR,OS,NS,NS Transplant,alive,15.16320423,0.01,0.007071068
T2,9/25/2018,PSTR 4 24,PSTR,OS,NS,NS Transplant,alive,30.97200704,0.025166115,0.01779513
T2,9/25/2018,PSTR 4 25,PSTR,OS,NS,NS Transplant,alive,23.55264085,0.017320508,0.012247449
T2,9/24/2018,PSTR 5 2,PSTR,NS,NS,NS Native,alive,36.720035,0.011547005,0.008164966
T2,9/24/2018,PSTR 5 3,PSTR,NS,NS,NS Native,alive,33.56167979,0.01,0.007071068
T2,9/24/2018,PSTR 5 4,PSTR,NS,NS,NS Native,alive,49.61609799,0.005773503,0.004082483
T2,9/24/2018,PSTR 5 5,PSTR,NS,NS,NS Native,alive,17.73000875,0.015275252,0.010801234
T2,9/24/2018,PSTR 5 6,PSTR,NS,NS,NS Native,alive,23.69098863,0.005773503,0.004082483
T2,9/26/2018,PSTR 5 7,PSTR,NS,OS,OS Transplant,alive,32.11033275,0.005773503,0.004082483
T2,9/26/2018,PSTR 5 8,PSTR,NS,OS,OS Transplant,alive,24.07110333,0.011547005,0.008164966
T2,9/26/2018,PSTR 5 9,PSTR,NS,OS,OS Transplant,alive,35.83380035,0.005773503,0.004082483
T2,9/26/2018,PSTR 5 10,PSTR,NS,OS,OS Transplant,alive,32.39982487,0.005773503,0.004082483
T2,9/26/2018,PSTR 5 11,PSTR,NS,OS,OS Transplant,alive,28.25709282,0.005773503,0.004082483
T2,9/26/2018,PSTR 5 12,PSTR,NS,OS,OS Transplant,alive,22.37408056,0.011547005,0.008164966
T2,9/26/2018,PSTR 5 15,PSTR,OS,OS,OS Native,alive,21.68943662,0.015275252,0.010801234
T2,9/26/2018,PSTR 5 16,PSTR,OS,OS,OS Native,alive,31.14929577,0.017320508,0.012247449
T2,9/26/2018,PSTR 5 17,PSTR,OS,OS,OS Native,alive,14.39049296,0.01,0.007071068
T2,9/26/2018,PSTR 5 18,PSTR,OS,OS,OS Native,alive,20.43503521,0.015275252,0.010801234
T2,9/26/2018,PSTR 5 19,PSTR,OS,OS,OS Native,alive,24.85387324,0.577350269,0.40824829
T2,9/25/2018,PSTR 5 21,PSTR,OS,NS,NS Transplant,alive,22.76986784,0.01,0.007071068
T2,9/25/2018,PSTR 5 22,PSTR,OS,NS,NS Transplant,alive,33.07171806,0.005773503,0.004082483
T2,9/25/2018,PSTR 5 23,PSTR,OS,NS,NS Transplant,alive,22.27770925,0.017320508,0.012247449
T2,9/25/2018,PSTR 5 24,PSTR,OS,NS,NS Transplant,alive,14.56387665,0.01,0.007071068
T2,9/25/2018,PSTR 5 25,PSTR,OS,NS,NS Transplant,alive,18.31030837,0,0
T2,9/24/2018,PSTR 6 1,PSTR,NS,NS,NS Native,alive,39.20682415,0.017320508,0.012247449
T2,9/24/2018,PSTR 6 2,PSTR,NS,NS,NS Native,alive,27.29151356,0.011547005,0.008164966
T2,9/24/2018,PSTR 6 3,PSTR,NS,NS,NS Native,alive,25.47296588,0.01,0.007071068
T2,9/24/2018,PSTR 6 4,PSTR,NS,NS,NS Native,alive,37.33175853,0.01,0.007071068
T2,9/24/2018,PSTR 6 5,PSTR,NS,NS,NS Native,alive,18.12230971,0.01,0.007071068
T2,9/24/2018,PSTR 6 6,PSTR,NS,NS,NS Native,alive,32.91006124,0.005773503,0.004082483
T2,9/26/2018,PSTR 6 8,PSTR,NS,OS,OS Transplant,alive,46.46979983,0.005773503,0.004082483
T2,9/26/2018,PSTR 6 9,PSTR,NS,OS,OS Transplant,alive,24.64873803,0.005773503,0.004082483
T2,9/26/2018,PSTR 6 10,PSTR,NS,OS,OS Transplant,alive,25.02245431,0,0
T2,9/26/2018,PSTR 6 11,PSTR,NS,OS,OS Transplant,alive,15.66301131,0.011547005,0.008164966
T2,9/26/2018,PSTR 6 12,PSTR,NS,OS,OS Transplant,alive,15.2562228,0.005773503,0.004082483
T2,9/26/2018,PSTR 6 15,PSTR,OS,OS,OS Native,alive,49.55930131,0.011547005,0.008164966
T2,9/26/2018,PSTR 6 16,PSTR,OS,OS,OS Native,alive,12.29275109,0.005773503,0.004082483
T2,9/26/2018,PSTR 6 17,PSTR,OS,OS,OS Native,alive,17.66585153,0.015275252,0.010801234
T2,9/26/2018,PSTR 6 18,PSTR,OS,OS,OS Native,alive,27.96069869,0.02081666,0.014719601
T2,9/26/2018,PSTR 6 19,PSTR,OS,OS,OS Native,alive,22.33537118,0.02081666,0.014719601
T2,9/25/2018,PSTR 6 21,PSTR,OS,NS,NS Transplant,alive,17.61153846,0.005773503,0.004082483
T2,9/25/2018,PSTR 6 22,PSTR,OS,NS,NS Transplant,alive,22.19545455,0.005773503,0.004082483
T2,9/25/2018,PSTR 6 23,PSTR,OS,NS,NS Transplant,alive,22.23863636,0.015275252,0.010801234
T2,9/25/2018,PSTR 6 24,PSTR,OS,NS,NS Transplant,alive,41.65384615,0.588897275,0.416413256
T2,9/25/2018,PSTR 6 25,PSTR,OS,NS,NS Transplant,alive,21.01958042,0.005773503,0.004082483
T2,9/24/2018,SSID 1 2,SSID,NS,NS,NS Native,alive,21.87333333,0.005773503,0.004082483
T2,9/24/2018,SSID 1 3,SSID,NS,NS,NS Native,alive,27.73666667,0.011547005,0.008164966
T2,9/24/2018,SSID 1 4,SSID,NS,NS,NS Native,alive,24.70333333,0.005773503,0.004082483
T2,9/24/2018,SSID 1 5,SSID,NS,NS,NS Native,alive,22.71666667,0.005773503,0.004082483
T2,9/24/2018,SSID 1 6,SSID,NS,NS,NS Native,alive,33.19666667,0.005773503,0.004082483
T2,9/26/2018,SSID 1 7,SSID,NS,OS,OS Transplant,alive,21.91233596,0.01,0.007071068
T2,9/26/2018,SSID 1 8,SSID,NS,OS,OS Transplant,dead,10.120035,0.025166115,0.01779513
T2,9/26/2018,SSID 1 9,SSID,NS,OS,OS Transplant,alive,13.79370079,0.017320508,0.012247449
T2,9/26/2018,SSID 1 10,SSID,NS,OS,OS Transplant,dead,13.88346457,0.01,0.007071068
T2,9/26/2018,SSID 1 11,SSID,NS,OS,OS Transplant,alive,18.19212598,0.01,0.007071068
T2,9/26/2018,SSID 1 12,SSID,NS,OS,OS Transplant,alive,34.25319335,0.02081666,0.014719601
T2,9/26/2018,SSID 1 15,SSID,OS,OS,OS Native,alive,13.59947461,0.005773503,0.004082483
T2,9/26/2018,SSID 1 16,SSID,OS,OS,OS Native,alive,19.99824869,0.02081666,0.014719601
T2,9/26/2018,SSID 1 17,SSID,OS,OS,OS Native,alive,19.0732049,0.025166115,0.01779513
T2,9/26/2018,SSID 1 18,SSID,OS,OS,OS Native,alive,25.90788091,0.011547005,0.008164966
T2,9/26/2018,SSID 1 19,SSID,OS,OS,OS Native,alive,21.89824869,0.005773503,0.004082483
T2,9/25/2018,SSID 1 21,SSID,OS,NS,NS Transplant,alive,33.71581722,0.011547005,0.008164966
T2,9/25/2018,SSID 1 22,SSID,OS,NS,NS Transplant,alive,26.31282953,0.011547005,0.008164966
T2,9/25/2018,SSID 1 23,SSID,OS,NS,NS Transplant,alive,18.34885764,0.005773503,0.004082483
T2,9/25/2018,SSID 1 24,SSID,OS,NS,NS Transplant,alive,24.01212654,0.01,0.007071068
T2,9/25/2018,SSID 1 25,SSID,OS,NS,NS Transplant,alive,22.01528998,0.005773503,0.004082483
T2,9/24/2018,SSID 2 2,SSID,NS,NS,NS Native,alive,24.4338326,0.015275252,0.010801234
T2,9/24/2018,SSID 2 3,SSID,NS,NS,NS Native,alive,30.94237885,0.005773503,0.004082483
T2,9/24/2018,SSID 2 4,SSID,NS,NS,NS Native,alive,21.83911894,0.011547005,0.008164966
T2,9/24/2018,SSID 2 5,SSID,NS,NS,NS Native,alive,24.6246696,0.011547005,0.008164966
T2,9/24/2018,SSID 2 6,SSID,NS,NS,NS Native,alive,31.30061674,0.005773503,0.004082483
T2,9/26/2018,SSID 2 7,SSID,NS,OS,OS Transplant,alive,19.2231376,0.01,0.007071068
T2,9/26/2018,SSID 2 8,SSID,NS,OS,OS Transplant,alive,37.74022787,0.005773503,0.004082483
T2,9/26/2018,SSID 2 9,SSID,NS,OS,OS Transplant,alive,31.61226994,0.01,0.007071068
T2,9/26/2018,SSID 2 10,SSID,NS,OS,OS Transplant,dead,21.81086766,0.01,0.007071068
T2,9/26/2018,SSID 2 11,SSID,NS,OS,OS Transplant,alive,32.24837862,0.005773503,0.004082483
T2,9/26/2018,SSID 2 12,SSID,NS,OS,OS Transplant,alive,25.18124452,0.005773503,0.004082483
T2,9/26/2018,SSID 2 15,SSID,OS,OS,OS Native,alive,31.52394366,0.005773503,0.004082483
T2,9/26/2018,SSID 2 16,SSID,OS,OS,OS Native,alive,25.54964789,0.017320508,0.012247449
T2,9/26/2018,SSID 2 17,SSID,OS,OS,OS Native,alive,28.63714789,0.005773503,0.004082483
T2,9/26/2018,SSID 2 18,SSID,OS,OS,OS Native,alive,10.11214789,0.005773503,0.004082483
T2,9/26/2018,SSID 2 19,SSID,OS,OS,OS Native,alive,64.06478873,0,0
T2,9/25/2018,SSID 2 20,SSID,OS,NS,NS Transplant,alive,41.9202109,0.015275252,0.010801234
T2,9/25/2018,SSID 2 21,SSID,OS,NS,NS Transplant,alive,19.29384886,0.01,0.007071068
T2,9/25/2018,SSID 2 22,SSID,OS,NS,NS Transplant,alive,41.29578207,0.005773503,0.004082483
T2,9/25/2018,SSID 2 23,SSID,OS,NS,NS Transplant,alive,17.29367311,0.015275252,0.010801234
T2,9/25/2018,SSID 2 24,SSID,OS,NS,NS Transplant,alive,26.04235501,0.005773503,0.004082483
T2,9/25/2018,SSID 2 25,SSID,OS,NS,NS Transplant,alive,30.14288225,0,0
T2,9/24/2018,SSID 3 2,SSID,NS,NS,NS Native,alive,31.97252843,0.011547005,0.008164966
T2,9/24/2018,SSID 3 3,SSID,NS,NS,NS Native,alive,51.79702537,0.011547005,0.008164966
T2,9/24/2018,SSID 3 4,SSID,NS,NS,NS Native,alive,39.09046369,0.011547005,0.008164966
T2,9/24/2018,SSID 3 5,SSID,NS,NS,NS Native,alive,39.9847769,0.01,0.007071068
T2,9/24/2018,SSID 3 6,SSID,NS,NS,NS Native,alive,47.93053368,0.005773503,0.004082483
T2,9/26/2018,SSID 3 7,SSID,NS,OS,OS Transplant,missing,NA,NA,NA
T2,9/26/2018,SSID 3 8,SSID,NS,OS,OS Transplant,dead,30.99281332,0.03,0.021213203
T2,9/26/2018,SSID 3 9,SSID,NS,OS,OS Transplant,dead,20.86503067,0.005773503,0.004082483
T2,9/26/2018,SSID 3 10,SSID,NS,OS,OS Transplant,missing,NA,NA,NA
T2,9/26/2018,SSID 3 11,SSID,NS,OS,OS Transplant,alive,34.25994741,0.01,0.007071068
T2,9/26/2018,SSID 3 12,SSID,NS,OS,OS Transplant,alive,31.46906223,0.005773503,0.004082483
T2,9/26/2018,SSID 3 15,SSID,OS,OS,OS Native,alive,14.45333333,0.005773503,0.004082483
T2,9/26/2018,SSID 3 16,SSID,OS,OS,OS Native,alive,11.88333333,0.005773503,0.004082483
T2,9/26/2018,SSID 3 17,SSID,OS,OS,OS Native,alive,16.83666667,0.011547005,0.008164966
T2,9/26/2018,SSID 3 18,SSID,OS,OS,OS Native,alive,11.76666667,0.005773503,0.004082483
T2,9/26/2018,SSID 3 19,SSID,OS,OS,OS Native,alive,10.79,0.01,0.007071068
T2,9/25/2018,SSID 3 21,SSID,OS,NS,NS Transplant,alive,17.83128295,0.01,0.007071068
T2,9/25/2018,SSID 3 22,SSID,OS,NS,NS Transplant,alive,25.30439367,0.017320508,0.012247449
T2,9/25/2018,SSID 3 23,SSID,OS,NS,NS Transplant,alive,17.51072056,0.017320508,0.012247449
T2,9/25/2018,SSID 3 24,SSID,OS,NS,NS Transplant,alive,31.35834798,0.005773503,0.004082483
T2,9/25/2018,SSID 3 25,SSID,OS,NS,NS Transplant,alive,11.77732865,0.005773503,0.004082483
T2,9/24/2018,SSID 4 1,SSID,NS,NS,NS Native,alive,14.74920914,0.005773503,0.004082483
T2,9/24/2018,SSID 4 2,SSID,NS,NS,NS Native,alive,15.56063269,0.005773503,0.004082483
T2,9/24/2018,SSID 4 3,SSID,NS,NS,NS Native,dead,17.77785589,0.015275252,0.010801234
T2,9/24/2018,SSID 4 4,SSID,NS,NS,NS Native,dead,15.28347979,0.005773503,0.004082483
T2,9/24/2018,SSID 4 5,SSID,NS,NS,NS Native,alive,25.01054482,0.005773503,0.004082483
T2,9/24/2018,SSID 4 6,SSID,NS,NS,NS Native,alive,23.66151142,0.01,0.007071068
T2,9/26/2018,SSID 4 7,SSID,NS,OS,OS Transplant,dead,8.927510917,0.02081666,0.014719601
T2,9/26/2018,SSID 4 9,SSID,NS,OS,OS Transplant,alive,10.89886463,0.015275252,0.010801234
T2,9/26/2018,SSID 4 10,SSID,NS,OS,OS Transplant,dead,4.271266376,0.01,0.007071068
T2,9/26/2018,SSID 4 11,SSID,NS,OS,OS Transplant,dead,17.51318777,0,0
T2,9/26/2018,SSID 4 12,SSID,NS,OS,OS Transplant,dead,7.387598253,0.02,0.014142136
T2,9/26/2018,SSID 4 15,SSID,OS,OS,OS Native,alive,8.891068301,0.005773503,0.004082483
T2,9/26/2018,SSID 4 16,SSID,OS,OS,OS Native,alive,15.58931699,0.015275252,0.010801234
T2,9/26/2018,SSID 4 17,SSID,OS,OS,OS Native,alive,9.460070053,0.011547005,0.008164966
T2,9/26/2018,SSID 4 18,SSID,OS,OS,OS Native,alive,4.62854641,0.011547005,0.008164966
T2,9/26/2018,SSID 4 19,SSID,OS,OS,OS Native,alive,10.53485114,0.005773503,0.004082483
T2,9/25/2018,SSID 4 21,SSID,OS,NS,NS Transplant,alive,21.03201407,0.011547005,0.008164966
T2,9/25/2018,SSID 4 22,SSID,OS,NS,NS Transplant,alive,19.05681618,0.005773503,0.004082483
T2,9/25/2018,SSID 4 23,SSID,OS,NS,NS Transplant,alive,30.94476693,0.005773503,0.004082483
T2,9/25/2018,SSID 4 24,SSID,OS,NS,NS Transplant,alive,25.60738786,0.01,0.007071068
T2,9/25/2018,SSID 4 25,SSID,OS,NS,NS Transplant,alive,15.02955145,0.01,0.007071068
T2,9/24/2018,SSID 5 2,SSID,NS,NS,NS Native,alive,29.7943958,0.005773503,0.004082483
T2,9/24/2018,SSID 5 3,SSID,NS,NS,NS Native,alive,18.28791594,0.01,0.007071068
T2,9/24/2018,SSID 5 4,SSID,NS,NS,NS Native,alive,41.79334501,0.011547005,0.008164966
T2,9/24/2018,SSID 5 5,SSID,NS,NS,NS Native,alive,22.02469352,0.005773503,0.004082483
T2,9/24/2018,SSID 5 6,SSID,NS,NS,NS Native,alive,17.04676007,0.005773503,0.004082483
T2,9/26/2018,SSID 5 7,SSID,NS,OS,OS Transplant,dead,10.94333333,0.005773503,0.004082483
T2,9/26/2018,SSID 5 8,SSID,NS,OS,OS Transplant,dead,9.15,0.01,0.007071068
T2,9/26/2018,SSID 5 9,SSID,NS,OS,OS Transplant,alive,30.97,0.01,0.007071068
T2,9/26/2018,SSID 5 11,SSID,NS,OS,OS Transplant,alive,11.09333333,0.02081666,0.014719601
T2,9/26/2018,SSID 5 12,SSID,NS,OS,OS Transplant,alive,16.94666667,0.011547005,0.008164966
T2,9/26/2018,SSID 5 15,SSID,OS,OS,OS Native,alive,9.323951049,0.02081666,0.014719601
T2,9/26/2018,SSID 5 16,SSID,OS,OS,OS Native,alive,8.221153846,0,0
T2,9/26/2018,SSID 5 17,SSID,OS,OS,OS Native,alive,10.08129371,0.028867513,0.020412415
T2,9/26/2018,SSID 5 18,SSID,OS,OS,OS Native,alive,12.56923077,0.005773503,0.004082483
T2,9/26/2018,SSID 5 19,SSID,OS,OS,OS Native,alive,8.473601399,0.005773503,0.004082483
T2,9/25/2018,SSID 5 21,SSID,OS,NS,NS Transplant,alive,20.22451839,0.01,0.007071068
T2,9/25/2018,SSID 5 22,SSID,OS,NS,NS Transplant,alive,19.83187391,0.005773503,0.004082483
T2,9/25/2018,SSID 5 23,SSID,OS,NS,NS Transplant,dead,10.42171629,0,0
T2,9/25/2018,SSID 5 24,SSID,OS,NS,NS Transplant,alive,21.73187391,0.01,0.007071068
T2,9/25/2018,SSID 5 25,SSID,OS,NS,NS Transplant,alive,11.29684764,0.005773503,0.004082483
T2,9/24/2018,SSID 6 1,SSID,NS,NS,NS Native,dead,26.74371152,0.015275252,0.010801234
T2,9/24/2018,SSID 6 2,SSID,NS,NS,NS Native,alive,29.52770449,0.01,0.007071068
T2,9/24/2018,SSID 6 3,SSID,NS,NS,NS Native,alive,41.41565523,0.005773503,0.004082483
T2,9/24/2018,SSID 6 4,SSID,NS,NS,NS Native,alive,20.5173263,0.005773503,0.004082483
T2,9/24/2018,SSID 6 5,SSID,NS,NS,NS Native,alive,15.25013193,0.01,0.007071068
T2,9/24/2018,SSID 6 6,SSID,NS,NS,NS Native,dead,25.11609499,0.01,0.007071068
T2,9/26/2018,SSID 6 8,SSID,NS,OS,OS Transplant,alive,19.72143482,0.005773503,0.004082483
T2,9/26/2018,SSID 6 9,SSID,NS,OS,OS Transplant,alive,22.31461067,0.023094011,0.016329932
T2,9/26/2018,SSID 6 10,SSID,NS,OS,OS Transplant,alive,22.57,0.01,0.0057735
T2,9/26/2018,SSID 6 11,SSID,NS,OS,OS Transplant,alive,16.74260717,0.005773503,0.004082483
T2,9/26/2018,SSID 6 12,SSID,NS,OS,OS Transplant,dead,12.69658793,0.036055513,0.025495098
T2,9/26/2018,SSID 6 14,SSID,OS,OS,OS Native,alive,24.96476775,0.023094011,0.016329932
T2,9/26/2018,SSID 6 15,SSID,OS,OS,OS Native,alive,17.10499562,0.01,0.007071068
T2,9/26/2018,SSID 6 16,SSID,OS,OS,OS Native,alive,19.46625767,0.005773503,0.004082483
T2,9/26/2018,SSID 6 17,SSID,OS,OS,OS Native,alive,12.00613497,0.005773503,0.004082483
T2,9/26/2018,SSID 6 18,SSID,OS,OS,OS Native,alive,11.55985977,0.026457513,0.018708287
T2,9/26/2018,SSID 6 19,SSID,OS,OS,OS Native,alive,21.1780894,0.005773503,0.004082483
T2,9/25/2018,SSID 6 21,SSID,OS,NS,NS Transplant,alive,21.99043478,0.005773503,0.004082483
T2,9/25/2018,SSID 6 22,SSID,OS,NS,NS Transplant,alive,18.96695652,0.005773503,0.004082483
T2,9/25/2018,SSID 6 23,SSID,OS,NS,NS Transplant,alive,17.64852174,0.005773503,0.004082483
T2,9/25/2018,SSID 6 24,SSID,OS,NS,NS Transplant,alive,16.98104348,0.01,0.007071068
T2,9/25/2018,SSID 6 25,SSID,OS,NS,NS Transplant,alive,20.18956522,0.005773503,0.004082483
T3,5/30/2019,PSTR 1 3,PSTR,NS,NS,NS Native,alive,42.3595092,11.54123188,8.160883326
T3,5/30/2019,PSTR 1 4,PSTR,NS,NS,NS Native,alive,35.55214724,0.005773502692,0.004082482905
